"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1987,95,"BRWhite",1.029,0.206,1.025,0.637,1.443
1988,95,"BRWhite",1.114,0.197,1.109,0.747,1.519
1989,95,"BRWhite",0.882,0.187,0.879,0.525,1.252
1990,95,"BRWhite",0.614,0.186,0.61,0.255,0.989
1991,95,"BRWhite",0.639,0.191,0.636,0.271,1.025
1992,95,"BRWhite",0.585,0.23,0.583,0.143,1.045
1937,75,"CEHughes2",-0.357,0.233,-0.352,-0.818,0.095
1938,75,"CEHughes2",-0.181,0.19,-0.183,-0.557,0.186
1939,75,"CEHughes2",0.345,0.194,0.34,-0.034,0.73
1940,75,"CEHughes2",0.94,0.239,0.935,0.498,1.424
1956,93,"CEWhittaker",0.964,0.276,0.955,0.446,1.536
1957,93,"CEWhittaker",1.013,0.194,1.006,0.646,1.416
1958,93,"CEWhittaker",1.28,0.215,1.276,0.875,1.717
1959,93,"CEWhittaker",1.368,0.21,1.361,0.969,1.799
1960,93,"CEWhittaker",1.203,0.235,1.195,0.766,1.691
1961,93,"CEWhittaker",1.137,0.335,1.13,0.507,1.818
1991,108,"CThomas",2.742,0.467,2.717,1.896,3.725
1992,108,"CThomas",3.045,0.46,3.023,2.217,3.986
1993,108,"CThomas",3.421,0.447,3.409,2.605,4.351
1994,108,"CThomas",3.645,0.446,3.628,2.823,4.564
1995,108,"CThomas",3.74,0.454,3.723,2.893,4.669
1996,108,"CThomas",3.813,0.459,3.798,2.969,4.769
1997,108,"CThomas",3.802,0.471,3.782,2.922,4.77
1998,108,"CThomas",3.826,0.478,3.809,2.93,4.814
1999,108,"CThomas",3.777,0.49,3.76,2.849,4.782
2000,108,"CThomas",3.799,0.495,3.784,2.859,4.817
2001,108,"CThomas",3.755,0.511,3.739,2.803,4.806
2002,108,"CThomas",3.889,0.502,3.877,2.95,4.915
2003,108,"CThomas",3.911,0.501,3.898,2.97,4.946
2004,108,"CThomas",3.946,0.501,3.928,3.004,4.976
2005,108,"CThomas",3.973,0.498,3.954,3.06,5.01
2006,108,"CThomas",3.929,0.488,3.916,3.028,4.941
2007,108,"CThomas",3.785,0.487,3.764,2.884,4.79
2008,108,"CThomas",3.534,0.499,3.511,2.627,4.592
2009,108,"CThomas",3.395,0.501,3.376,2.468,4.431
2010,108,"CThomas",3.225,0.516,3.209,2.29,4.297
2011,108,"CThomas",3.199,0.506,3.184,2.268,4.246
2012,108,"CThomas",3.151,0.504,3.133,2.225,4.197
2013,108,"CThomas",3.176,0.505,3.156,2.253,4.233
2014,108,"CThomas",3.177,0.502,3.149,2.259,4.23
2015,108,"CThomas",3.204,0.507,3.179,2.276,4.268
2016,108,"CThomas",3.217,0.512,3.182,2.301,4.311
2017,108,"CThomas",3.149,0.53,3.115,2.201,4.288
2018,108,"CThomas",3.189,0.541,3.157,2.225,4.369
2019,108,"CThomas",3.168,0.578,3.125,2.166,4.427
2020,108,"CThomas",3.03,0.656,3,1.852,4.43
1990,107,"DHSouter",0.969,0.224,0.964,0.537,1.423
1991,107,"DHSouter",0.603,0.189,0.6,0.239,0.985
1992,107,"DHSouter",0.258,0.188,0.256,-0.103,0.633
1993,107,"DHSouter",-0.237,0.196,-0.238,-0.62,0.146
1994,107,"DHSouter",-0.336,0.198,-0.333,-0.733,0.043
1995,107,"DHSouter",-0.379,0.198,-0.375,-0.777,0.001
1996,107,"DHSouter",-0.32,0.196,-0.318,-0.703,0.058
1997,107,"DHSouter",-0.42,0.21,-0.416,-0.838,-0.017
1998,107,"DHSouter",-0.488,0.206,-0.488,-0.905,-0.091
1999,107,"DHSouter",-0.942,0.227,-0.94,-1.394,-0.51
2000,107,"DHSouter",-1.207,0.24,-1.203,-1.7,-0.75
2001,107,"DHSouter",-1.4,0.263,-1.396,-1.92,-0.901
2002,107,"DHSouter",-1.514,0.285,-1.505,-2.095,-0.974
2003,107,"DHSouter",-1.663,0.281,-1.655,-2.237,-1.137
2004,107,"DHSouter",-1.614,0.286,-1.607,-2.191,-1.065
2005,107,"DHSouter",-1.529,0.287,-1.521,-2.103,-0.99
2006,107,"DHSouter",-1.427,0.279,-1.413,-1.999,-0.911
2007,107,"DHSouter",-1.503,0.295,-1.493,-2.118,-0.954
2008,107,"DHSouter",-1.566,0.321,-1.551,-2.228,-0.975
2010,114,"EKagan",-1.44,0.337,-1.428,-2.138,-0.816
2011,114,"EKagan",-1.43,0.305,-1.419,-2.063,-0.862
2012,114,"EKagan",-1.671,0.303,-1.659,-2.297,-1.11
2013,114,"EKagan",-1.626,0.317,-1.617,-2.273,-1.038
2014,114,"EKagan",-1.669,0.313,-1.657,-2.304,-1.084
2015,114,"EKagan",-1.54,0.317,-1.536,-2.187,-0.936
2016,114,"EKagan",-1.575,0.311,-1.568,-2.207,-0.983
2017,114,"EKagan",-1.596,0.294,-1.585,-2.189,-1.042
2018,114,"EKagan",-1.559,0.306,-1.545,-2.188,-1.003
2019,114,"EKagan",-1.581,0.328,-1.569,-2.263,-0.975
2020,114,"EKagan",-1.508,0.379,-1.494,-2.296,-0.809
1953,90,"EWarren",-0,0.218,0.001,-0.433,0.428
1954,90,"EWarren",-0.466,0.217,-0.463,-0.896,-0.053
1955,90,"EWarren",-1.086,0.224,-1.083,-1.534,-0.649
1956,90,"EWarren",-1.326,0.223,-1.322,-1.776,-0.904
1957,90,"EWarren",-1.61,0.224,-1.604,-2.069,-1.19
1958,90,"EWarren",-1.665,0.235,-1.66,-2.138,-1.221
1959,90,"EWarren",-1.575,0.238,-1.567,-2.063,-1.122
1960,90,"EWarren",-1.464,0.234,-1.459,-1.948,-1.023
1961,90,"EWarren",-1.578,0.24,-1.569,-2.067,-1.127
1962,90,"EWarren",-1.518,0.229,-1.514,-1.979,-1.083
1963,90,"EWarren",-1.467,0.218,-1.458,-1.924,-1.062
1964,90,"EWarren",-1.295,0.238,-1.288,-1.777,-0.847
1965,90,"EWarren",-1.293,0.223,-1.29,-1.745,-0.882
1966,90,"EWarren",-1.225,0.205,-1.218,-1.643,-0.847
1967,90,"EWarren",-1.289,0.219,-1.282,-1.751,-0.88
1968,90,"EWarren",-1.314,0.266,-1.302,-1.867,-0.83
1938,80,"FFrankfurter",-1.356,0.319,-1.35,-2,-0.755
1939,80,"FFrankfurter",-1.255,0.25,-1.248,-1.755,-0.777
1940,80,"FFrankfurter",-0.725,0.203,-0.721,-1.135,-0.342
1941,80,"FFrankfurter",0.099,0.186,0.098,-0.263,0.466
1942,80,"FFrankfurter",0.466,0.182,0.461,0.121,0.834
1943,80,"FFrankfurter",0.612,0.185,0.609,0.254,0.98
1944,80,"FFrankfurter",0.514,0.178,0.511,0.179,0.876
1945,80,"FFrankfurter",0.656,0.218,0.653,0.243,1.098
1946,80,"FFrankfurter",1.039,0.206,1.033,0.644,1.463
1947,80,"FFrankfurter",0.95,0.202,0.944,0.562,1.365
1948,80,"FFrankfurter",0.641,0.187,0.638,0.287,1.017
1949,80,"FFrankfurter",0.366,0.263,0.347,-0.102,0.939
1950,80,"FFrankfurter",0.187,0.2,0.184,-0.2,0.58
1951,80,"FFrankfurter",0.022,0.187,0.022,-0.345,0.385
1952,80,"FFrankfurter",0.006,0.166,0.006,-0.321,0.341
1953,80,"FFrankfurter",0.351,0.195,0.351,-0.036,0.727
1954,80,"FFrankfurter",0.321,0.2,0.319,-0.056,0.721
1955,80,"FFrankfurter",0.593,0.196,0.59,0.216,0.985
1956,80,"FFrankfurter",0.924,0.191,0.918,0.563,1.313
1957,80,"FFrankfurter",1.191,0.201,1.185,0.816,1.592
1958,80,"FFrankfurter",1.485,0.235,1.479,1.043,1.961
1959,80,"FFrankfurter",1.771,0.248,1.764,1.312,2.291
1960,80,"FFrankfurter",1.787,0.289,1.772,1.254,2.393
1961,80,"FFrankfurter",1.787,0.368,1.774,1.114,2.532
1939,82,"FMurphy",-1.614,0.35,-1.606,-2.328,-0.958
1940,82,"FMurphy",-1.575,0.294,-1.57,-2.175,-1.036
1941,82,"FMurphy",-1.528,0.265,-1.518,-2.075,-1.035
1942,82,"FMurphy",-1.672,0.261,-1.666,-2.208,-1.179
1943,82,"FMurphy",-1.725,0.254,-1.718,-2.248,-1.251
1944,82,"FMurphy",-1.436,0.247,-1.429,-1.94,-0.967
1945,82,"FMurphy",-1.399,0.269,-1.391,-1.953,-0.902
1946,82,"FMurphy",-1.779,0.258,-1.77,-2.304,-1.282
1947,82,"FMurphy",-1.687,0.27,-1.681,-2.236,-1.18
1948,82,"FMurphy",-1.521,0.3,-1.508,-2.147,-0.968
1946,87,"FMVinson",0.413,0.195,0.41,0.042,0.802
1947,87,"FMVinson",0.54,0.184,0.534,0.198,0.911
1948,87,"FMVinson",0.874,0.204,0.867,0.488,1.291
1949,87,"FMVinson",1.109,0.281,1.107,0.563,1.671
1950,87,"FMVinson",1.282,0.284,1.269,0.751,1.868
1951,87,"FMVinson",1.539,0.284,1.528,1.011,2.13
1952,87,"FMVinson",1.486,0.328,1.462,0.9,2.183
1937,71,"GSutherland",1.586,0.56,1.546,0.609,2.799
1969,100,"HABlackmun",1.465,0.383,1.465,0.723,2.234
1970,100,"HABlackmun",1.561,0.273,1.553,1.057,2.128
1971,100,"HABlackmun",1.626,0.227,1.618,1.201,2.084
1972,100,"HABlackmun",1.441,0.206,1.436,1.048,1.857
1973,100,"HABlackmun",1.302,0.198,1.295,0.929,1.697
1974,100,"HABlackmun",1.038,0.202,1.032,0.656,1.452
1975,100,"HABlackmun",0.853,0.176,0.853,0.516,1.206
1976,100,"HABlackmun",0.677,0.164,0.676,0.366,1.01
1977,100,"HABlackmun",0.322,0.17,0.319,-0.002,0.662
1978,100,"HABlackmun",0.146,0.154,0.144,-0.153,0.454
1979,100,"HABlackmun",-0.048,0.149,-0.047,-0.342,0.244
1980,100,"HABlackmun",-0.075,0.16,-0.073,-0.394,0.236
1981,100,"HABlackmun",-0.244,0.151,-0.241,-0.545,0.047
1982,100,"HABlackmun",-0.301,0.157,-0.301,-0.607,0.002
1983,100,"HABlackmun",0.028,0.149,0.029,-0.266,0.321
1984,100,"HABlackmun",-0.077,0.161,-0.076,-0.397,0.234
1985,100,"HABlackmun",-0.689,0.167,-0.686,-1.024,-0.369
1986,100,"HABlackmun",-0.821,0.168,-0.818,-1.164,-0.498
1987,100,"HABlackmun",-0.882,0.195,-0.88,-1.271,-0.512
1988,100,"HABlackmun",-0.925,0.182,-0.922,-1.294,-0.584
1989,100,"HABlackmun",-0.858,0.186,-0.853,-1.236,-0.511
1990,100,"HABlackmun",-1.179,0.219,-1.173,-1.63,-0.767
1991,100,"HABlackmun",-1.438,0.256,-1.425,-1.974,-0.956
1992,100,"HABlackmun",-1.652,0.294,-1.646,-2.258,-1.105
1993,100,"HABlackmun",-1.929,0.355,-1.924,-2.646,-1.256
1937,74,"HFStone",-0.765,0.256,-0.758,-1.273,-0.277
1938,74,"HFStone",-0.69,0.213,-0.685,-1.127,-0.283
1939,74,"HFStone",-0.615,0.201,-0.611,-1.013,-0.231
1940,74,"HFStone",-0.216,0.189,-0.215,-0.587,0.149
1941,74,"HFStone",0.456,0.192,0.454,0.08,0.838
1942,74,"HFStone",0.378,0.182,0.376,0.028,0.736
1943,74,"HFStone",0.24,0.179,0.237,-0.102,0.593
1944,74,"HFStone",0.583,0.181,0.581,0.235,0.942
1945,74,"HFStone",0.732,0.272,0.727,0.22,1.287
1945,86,"HHBurton",0.513,0.235,0.507,0.064,0.992
1946,86,"HHBurton",0.531,0.188,0.527,0.175,0.914
1947,86,"HHBurton",0.831,0.198,0.826,0.455,1.23
1948,86,"HHBurton",0.944,0.205,0.936,0.562,1.367
1949,86,"HHBurton",0.951,0.267,0.95,0.426,1.487
1950,86,"HHBurton",0.984,0.237,0.979,0.539,1.462
1951,86,"HHBurton",0.946,0.225,0.939,0.527,1.407
1952,86,"HHBurton",1.277,0.232,1.268,0.85,1.747
1953,86,"HHBurton",1.331,0.247,1.328,0.855,1.835
1954,86,"HHBurton",1.266,0.245,1.258,0.804,1.77
1955,86,"HHBurton",1.264,0.229,1.261,0.824,1.73
1956,86,"HHBurton",1.158,0.208,1.153,0.77,1.587
1957,86,"HHBurton",1.024,0.211,1.015,0.631,1.463
1958,86,"HHBurton",1.077,0.375,1.074,0.339,1.809
1937,78,"HLBlack",-2.913,0.334,-2.907,-3.584,-2.271
1938,78,"HLBlack",-3.231,0.361,-3.228,-3.956,-2.532
1939,78,"HLBlack",-3.312,0.386,-3.305,-4.08,-2.583
1940,78,"HLBlack",-3.34,0.384,-3.333,-4.102,-2.612
1941,78,"HLBlack",-3.264,0.373,-3.253,-4.019,-2.556
1942,78,"HLBlack",-3.045,0.369,-3.036,-3.792,-2.355
1943,78,"HLBlack",-2.723,0.366,-2.708,-3.468,-2.039
1944,78,"HLBlack",-2.553,0.344,-2.542,-3.261,-1.91
1945,78,"HLBlack",-2.151,0.344,-2.141,-2.853,-1.494
1946,78,"HLBlack",-1.954,0.301,-1.943,-2.571,-1.386
1947,78,"HLBlack",-1.792,0.28,-1.782,-2.374,-1.273
1948,78,"HLBlack",-1.584,0.278,-1.573,-2.157,-1.075
1949,78,"HLBlack",-1.521,0.338,-1.515,-2.198,-0.878
1950,78,"HLBlack",-1.494,0.303,-1.482,-2.126,-0.932
1951,78,"HLBlack",-1.357,0.266,-1.346,-1.912,-0.866
1952,78,"HLBlack",-1.095,0.233,-1.088,-1.573,-0.657
1953,78,"HLBlack",-1.479,0.258,-1.471,-2.01,-0.987
1954,78,"HLBlack",-1.618,0.286,-1.611,-2.197,-1.084
1955,78,"HLBlack",-1.961,0.292,-1.954,-2.54,-1.402
1956,78,"HLBlack",-2.183,0.28,-2.175,-2.749,-1.654
1957,78,"HLBlack",-2.252,0.27,-2.245,-2.788,-1.747
1958,78,"HLBlack",-2.091,0.283,-2.086,-2.654,-1.544
1959,78,"HLBlack",-2.057,0.274,-2.048,-2.623,-1.532
1960,78,"HLBlack",-1.942,0.265,-1.934,-2.482,-1.441
1961,78,"HLBlack",-1.875,0.267,-1.87,-2.417,-1.371
1962,78,"HLBlack",-1.768,0.247,-1.765,-2.264,-1.305
1963,78,"HLBlack",-1.489,0.22,-1.483,-1.941,-1.076
1964,78,"HLBlack",-0.933,0.225,-0.929,-1.379,-0.499
1965,78,"HLBlack",-0.56,0.186,-0.557,-0.929,-0.209
1966,78,"HLBlack",-0.412,0.156,-0.407,-0.72,-0.114
1967,78,"HLBlack",-0.096,0.142,-0.094,-0.377,0.185
1968,78,"HLBlack",0.102,0.169,0.104,-0.231,0.429
1969,78,"HLBlack",0.086,0.175,0.086,-0.259,0.433
1970,78,"HLBlack",-0.002,0.177,-0.004,-0.346,0.349
1937,67,"JCMcReynolds",3.445,0.544,3.423,2.442,4.585
1938,67,"JCMcReynolds",3.577,0.557,3.551,2.568,4.735
1939,67,"JCMcReynolds",3.548,0.608,3.517,2.448,4.798
1940,67,"JCMcReynolds",3.365,0.705,3.335,2.063,4.819
1941,83,"JFByrnes",-0.188,0.232,-0.184,-0.648,0.262
2005,111,"JGRoberts",1.392,0.328,1.38,0.776,2.057
2006,111,"JGRoberts",1.426,0.282,1.414,0.903,2.002
2007,111,"JGRoberts",1.413,0.273,1.406,0.899,1.964
2008,111,"JGRoberts",1.501,0.264,1.493,0.996,2.035
2009,111,"JGRoberts",1.387,0.271,1.382,0.871,1.936
2010,111,"JGRoberts",1.394,0.268,1.389,0.873,1.931
2011,111,"JGRoberts",1.203,0.261,1.196,0.698,1.722
2012,111,"JGRoberts",1.109,0.246,1.106,0.644,1.611
2013,111,"JGRoberts",0.804,0.256,0.803,0.313,1.317
2014,111,"JGRoberts",0.595,0.226,0.592,0.165,1.048
2015,111,"JGRoberts",0.33,0.232,0.328,-0.115,0.794
2016,111,"JGRoberts",0.347,0.233,0.344,-0.113,0.811
2017,111,"JGRoberts",0.408,0.209,0.404,0.002,0.831
2018,111,"JGRoberts",0.423,0.219,0.423,-0.002,0.863
2019,111,"JGRoberts",0.339,0.233,0.336,-0.101,0.807
2020,111,"JGRoberts",0.506,0.28,0.498,-0.016,1.083
1954,91,"JHarlan2",0.84,0.324,0.831,0.222,1.498
1955,91,"JHarlan2",1.055,0.245,1.048,0.596,1.553
1956,91,"JHarlan2",1.235,0.218,1.228,0.821,1.677
1957,91,"JHarlan2",1.331,0.212,1.323,0.941,1.764
1958,91,"JHarlan2",1.494,0.239,1.49,1.042,1.981
1959,91,"JHarlan2",1.636,0.246,1.627,1.181,2.145
1960,91,"JHarlan2",1.888,0.278,1.881,1.372,2.449
1961,91,"JHarlan2",2.271,0.297,2.262,1.709,2.878
1962,91,"JHarlan2",2.559,0.307,2.547,1.981,3.188
1963,91,"JHarlan2",2.656,0.311,2.649,2.075,3.299
1964,91,"JHarlan2",2.445,0.332,2.437,1.819,3.121
1965,91,"JHarlan2",2.351,0.3,2.342,1.791,2.959
1966,91,"JHarlan2",2.048,0.266,2.042,1.55,2.576
1967,91,"JHarlan2",1.472,0.225,1.463,1.051,1.935
1968,91,"JHarlan2",0.762,0.208,0.754,0.376,1.184
1969,91,"JHarlan2",0.688,0.197,0.682,0.318,1.092
1970,91,"JHarlan2",0.774,0.214,0.769,0.372,1.208
1975,103,"JPStevens",0.077,0.195,0.079,-0.308,0.46
1976,103,"JPStevens",-0.178,0.151,-0.176,-0.476,0.117
1977,103,"JPStevens",-0.079,0.163,-0.077,-0.406,0.236
1978,103,"JPStevens",-0.303,0.155,-0.302,-0.611,-0.004
1979,103,"JPStevens",-0.242,0.149,-0.243,-0.537,0.047
1980,103,"JPStevens",-0.224,0.162,-0.221,-0.549,0.091
1981,103,"JPStevens",-0.219,0.153,-0.217,-0.519,0.077
1982,103,"JPStevens",-0.531,0.162,-0.528,-0.855,-0.217
1983,103,"JPStevens",-0.506,0.158,-0.504,-0.822,-0.204
1984,103,"JPStevens",-0.464,0.169,-0.464,-0.797,-0.14
1985,103,"JPStevens",-0.457,0.161,-0.454,-0.776,-0.145
1986,103,"JPStevens",-0.589,0.157,-0.584,-0.904,-0.286
1987,103,"JPStevens",-0.487,0.181,-0.483,-0.851,-0.142
1988,103,"JPStevens",-0.583,0.169,-0.578,-0.927,-0.267
1989,103,"JPStevens",-0.997,0.196,-0.992,-1.394,-0.624
1990,103,"JPStevens",-1.722,0.256,-1.713,-2.24,-1.237
1991,103,"JPStevens",-2.16,0.3,-2.152,-2.757,-1.586
1992,103,"JPStevens",-2.366,0.338,-2.358,-3.053,-1.729
1993,103,"JPStevens",-2.583,0.379,-2.572,-3.347,-1.878
1994,103,"JPStevens",-3.008,0.384,-3.003,-3.782,-2.272
1995,103,"JPStevens",-3.267,0.397,-3.258,-4.06,-2.506
1996,103,"JPStevens",-3.379,0.413,-3.369,-4.216,-2.608
1997,103,"JPStevens",-3.355,0.437,-3.343,-4.248,-2.526
1998,103,"JPStevens",-3.372,0.428,-3.363,-4.242,-2.572
1999,103,"JPStevens",-3.316,0.431,-3.303,-4.203,-2.501
2000,103,"JPStevens",-3.146,0.446,-3.129,-4.071,-2.312
2001,103,"JPStevens",-3.037,0.446,-3.02,-3.959,-2.203
2002,103,"JPStevens",-2.918,0.448,-2.904,-3.864,-2.09
2003,103,"JPStevens",-2.904,0.436,-2.885,-3.821,-2.101
2004,103,"JPStevens",-2.894,0.429,-2.872,-3.788,-2.12
2005,103,"JPStevens",-2.851,0.437,-2.834,-3.755,-2.04
2006,103,"JPStevens",-2.812,0.443,-2.789,-3.758,-2.01
2007,103,"JPStevens",-2.689,0.466,-2.666,-3.684,-1.849
2008,103,"JPStevens",-2.853,0.472,-2.826,-3.866,-2
2009,103,"JPStevens",-2.859,0.535,-2.836,-3.999,-1.888
1937,68,"LDBrandeis",-0.607,0.27,-0.602,-1.165,-0.091
1938,68,"LDBrandeis",-0.615,0.312,-0.604,-1.263,-0.029
1971,101,"LFPowell",1.398,0.255,1.389,0.924,1.908
1972,101,"LFPowell",1.176,0.193,1.169,0.812,1.567
1973,101,"LFPowell",1.159,0.19,1.157,0.799,1.542
1974,101,"LFPowell",1.103,0.204,1.098,0.719,1.509
1975,101,"LFPowell",0.927,0.178,0.922,0.592,1.294
1976,101,"LFPowell",0.681,0.167,0.677,0.367,1.025
1977,101,"LFPowell",0.458,0.175,0.454,0.124,0.806
1978,101,"LFPowell",0.827,0.179,0.823,0.492,1.184
1979,101,"LFPowell",0.825,0.174,0.822,0.495,1.171
1980,101,"LFPowell",0.871,0.19,0.867,0.51,1.259
1981,101,"LFPowell",1.035,0.187,1.028,0.688,1.41
1982,101,"LFPowell",1.256,0.198,1.249,0.879,1.658
1983,101,"LFPowell",1.126,0.195,1.12,0.756,1.527
1984,101,"LFPowell",0.85,0.201,0.844,0.463,1.256
1985,101,"LFPowell",0.942,0.183,0.94,0.589,1.307
1986,101,"LFPowell",0.886,0.187,0.88,0.532,1.264
2016,115,"NMGorsuch",1.14,0.36,1.134,0.439,1.862
2017,115,"NMGorsuch",1.064,0.276,1.053,0.541,1.629
2018,115,"NMGorsuch",0.986,0.263,0.979,0.481,1.518
2019,115,"NMGorsuch",0.933,0.268,0.926,0.429,1.487
2020,115,"NMGorsuch",1.11,0.326,1.1,0.493,1.775
1937,76,"OJRoberts",0.015,0.23,0.016,-0.434,0.472
